DATE,VIXCLS,cases,deaths,death_rate,recovers,recover_rate,incr
2020/1/21,12.85,1,0,0,0,0,0
2020/1/22,12.91,1,0,0,0,0,0
2020/1/23,12.98,1,0,0,0,0,0
2020/1/24,14.56,2,0,0,0,0,1
2020/1/27,18.23,5,0,0,0,0,3
2020/1/28,16.28,5,0,0,0,0,0
2020/1/29,16.39,5,0,0,0,0,0
2020/1/30,15.49,6,0,0,0,0,1
2020/1/31,18.84,7,0,0,0,0,1
2020/2/3,17.97,11,0,0,0,0,4
2020/2/4,16.05,11,0,0,0,0,0
2020/2/5,15.15,12,0,0,1,0.083333333,1
2020/2/6,14.96,12,0,0,1,0.083333333,0
2020/2/7,15.47,12,0,0,3,0.25,0
2020/2/10,15.04,13,0,0,3,0.230769231,1
2020/2/11,15.18,13,0,0,3,0.230769231,0
2020/2/12,13.74,14,0,0,3,0.214285714,1
2020/2/13,14.15,15,0,0,3,0.2,1
2020/2/14,13.68,15,0,0,3,0.2,0
2020/2/18,14.83,25,0,0,3,0.12,10
2020/2/19,14.38,25,0,0,3,0.12,0
2020/2/20,15.56,27,0,0,3,0.111111111,2
2020/2/21,17.08,30,0,0,6,0.2,3
2020/2/24,25.03,43,0,0,7,0.162790698,13
2020/2/25,27.85,45,0,0,5,0.111111111,2
2020/2/26,27.56,60,0,0,6,0.1,15
2020/2/27,39.16,60,0,0,6,0.1,0
2020/2/28,40.11,65,0,0,6,0.092307692,5
2020/3/2,33.42,104,6,0.057692308,9,0.086538462,39
2020/3/3,36.82,125,10,0.08,9,0.072,21
2020/3/4,31.99,161,12,0.074534161,9,0.055900621,36
2020/3/5,39.62,228,12,0.052631579,9,0.039473684,67
2020/3/6,41.94,311,15,0.048231511,8,0.025723473,83
2020/3/9,54.46,748,26,0.034759358,8,0.010695187,437
2020/3/10,47.3,1018,31,0.030451866,8,0.007858546,270
2020/3/11,53.9,1263,37,0.029295329,15,0.011876485,245
2020/3/12,75.47,1668,43,0.025779376,15,0.008992806,405
2020/3/13,57.83,2224,50,0.022482014,31,0.013938849,556
2020/3/16,82.69,4507,91,0.020190814,73,0.016197027,2283
2020/3/17,75.91,5906,117,0.019810362,17,0.002878429,1399
2020/3/18,76.45,8350,162,0.019401198,106,0.012694611,2444
2020/3/19,72,12393,212,0.017106431,108,0.008714597,4043
2020/3/20,66.04,18012,277,0.015378636,125,0.006939818,5619
2020/3/23,61.59,43505,579,0.013308815,178,0.004091484,25493
2020/3/24,61.67,53938,785,0.014553747,260,0.004820349,10433
2020/3/25,63.95,68572,1054,0.015370705,298,0.004345797,14634
2020/3/26,61,85570,1353,0.015811616,616,0.007198785,16998
2020/3/27,65.54,102900,1770,0.017201166,753,0.007317784,17330
2020/3/30,57.08,163955,3368,0.020542222,4767,0.029075051,61055
2020/3/31,53.54,188461,4304,0.022837616,5945,0.031544988,24506
2020/4/1,57.06,215391,5325,0.024722481,8878,0.041218064,26930
2020/4/2,50.91,245108,6541,0.026686195,8878,0.036220768,29717
2020/4/3,46.8,277426,7932,0.028591408,12268,0.044220801,32318
2020/4/6,45.24,369057,12382,0.033550373,19522,0.052896978,91631
2020/4/7,46.7,399394,14616,0.036595442,21786,0.05454764,30337
2020/4/8,43.35,431214,16701,0.03873019,23496,0.054488027,31820
2020/4/9,41.67,465913,18821,0.040395954,25343,0.054394275,34699
2020/4/13,41.17,584018,26613,0.045568801,43593,0.074643247,118105
2020/4/14,37.76,610709,29318,0.048006497,44207,0.072386357,26691
2020/4/15,40.84,640742,32070,0.050051347,52273,0.081581978,30033
2020/4/16,40.11,672355,34419,0.051191707,52629,0.078275613,31613
2020/4/17,38.15,703864,36708,0.05215212,58436,0.08302172,31509
2020/4/20,43.83,784991,42016,0.053524181,72175,0.091943729,81127
2020/4/21,45.41,810505,44688,0.055135995,75025,0.092565746,25514
2020/4/22,41.98,839336,47059,0.056066939,77210,0.091989382,28831
2020/4/23,41.38,873112,49228,0.056382228,81792,0.093678703,33776
2020/4/24,35.93,909853,51360,0.056448679,99330,0.109171482,36741
2020/4/27,33.29,994193,56022,0.05634922,113380,0.114042243,84340
2020/4/28,33.57,1018844,58416,0.057335569,117690,0.115513268,24651
2020/4/29,31.23,1045399,60930,0.058283966,122746,0.117415456,26555
2020/4/30,34.15,1075756,63140,0.058693607,128436,0.119391386,30357
2020/5/1,37.19,1109726,64902,0.058484707,137944,0.124304558,33970
2020/5/4,35.97,1187302,68905,0.05803494,159839,0.13462371,77576
2020/5/5,33.61,1211011,71139,0.05874348,163647,0.135132546,23709
2020/5/6,34.12,1235517,73847,0.059770121,170512,0.138008623,24506
2020/5/7,31.44,1263995,75805,0.059972547,173939,0.137610513,28478
2020/5/8,27.98,1291643,77380,0.059908194,182305,0.141141941,27648
2020/5/11,27.57,1354449,80748,0.059616863,219079,0.161747692,62806
2020/5/12,33.04,1376749,82400,0.059851142,233210,0.169391806,22300
2020/5/13,35.28,1397894,84168,0.060210574,243384,0.174107622,21145
2020/5/14,32.61,1424856,85906,0.060291005,251464,0.176483799,26962
2020/5/15,31.89,1451093,87499,0.060298685,259038,0.178512335,26237
2020/5/18,29.3,1515593,90414,0.059655857,288842,0.190580189,64500
2020/5/19,30.53,1536570,91934,0.059830662,297153,0.19338722,20977
2020/5/20,27.99,1559640,93411,0.059892668,301341,0.193211895,23070
2020/5/21,29.53,1585373,94722,0.059747454,308195,0.194399047,25733
2020/5/22,28.16,1609172,96010,0.059664225,313431,0.194777811,23799
2020/5/26,28.01,1689467,98937,0.058561073,360571,0.213422932,80295
2020/5/27,27.62,1708211,100422,0.05878782,370921,0.217140037,18744
2020/5/28,28.59,1730723,101622,0.058716502,378558,0.218728242,22512
2020/5/29,27.51,1755271,102812,0.058573292,383191,0.21830874,24548
2020/6/1,28.23,1821199,105113,0.057716373,411898,0.226168585,65928
2020/6/2,26.84,1841990,106195,0.057652322,420747,0.228419807,20791
2020/6/3,25.66,1861977,107184,0.057564621,422680,0.227006026,19987
2020/6/4,25.81,1883593,108192,0.05743916,437211,0.23211543,21616
2020/6/5,24.52,1912302,109304,0.057158336,452735,0.236748693,28709
2020/6/8,25.81,1971641,111144,0.056371317,530272,0.26894957,59339
2020/6/9,27.57,1990446,112174,0.056356214,541116,0.271856659,18805
2020/6/10,27.57,2013298,113103,0.056177973,606388,0.301191379,22852
2020/6/11,40.79,2036500,113980,0.055968574,618226,0.303572796,23202
2020/6/12,36.09,2061993,114759,0.055654408,630611,0.305825965,25493
2020/6/15,34.4,2126574,116216,0.054649403,654552,0.307796484,64581
2020/6/16,33.67,2151459,116985,0.054374729,674279,0.313405461,24885
2020/6/17,33.47,2177114,117746,0.054083525,680152,0.312409915,25655
2020/6/18,32.94,2205173,118473,0.053725037,689043,0.312466641,28059
2020/6/19,35.12,2236009,119171,0.053296297,698788,0.312515737,30836
2020/6/22,31.77,2324879,120334,0.051759253,732633,0.315127368,88870
2020/6/23,31.37,2359939,121167,0.051343276,739725,0.313450899,35060
2020/6/24,33.84,2396928,121934,0.050870948,746563,0.311466594,36989
2020/6/25,32.22,2438101,124400,0.051023317,763814,0.313282346,41173
2020/6/26,34.73,2483629,125033,0.050342865,771064,0.310458607,45528
2020/6/29,31.78,2604932,126162,0.048431974,811095,0.311368972,121303
2020/6/30,30.43,2653321,127462,0.048038666,825781,0.311225442,48389
2020/7/1,28.62,2703296,128104,0.047388077,840649,0.310971865,49975
2020/7/2,27.68,2758855,128827,0.046695821,841452,0.305000444,55559
2020/7/6,27.94,2958098,130332,0.044059392,888807,0.300465705,199243
2020/7/7,29.43,3012182,131290,0.043586344,908324,0.301550172,54084
2020/7/8,28.08,3071637,132238,0.043051311,932429,0.303560935,59455
2020/7/9,29.26,3131526,133079,0.042496534,951053,0.303702732,59889
2020/7/10,27.29,3199753,133907,0.041849168,963412,0.30108949,68227
2020/7/13,32.19,3379846,135402,0.040061589,988656,0.292515103,180093
2020/7/14,29.52,3445448,136356,0.039575695,1026816,0.298021041,65602
2020/7/15,27.76,3513790,137327,0.039082301,1026816,0.292224635,68342
2020/7/16,28,3589477,138285,0.038525111,1026816,0.286062844,75687
2020/7/17,25.68,3660400,139186,0.038024806,1076823,0.294181783,70923
2020/7/20,24.46,3845014,140904,0.0366459,1130205,0.293940412,184614
2020/7/21,24.84,3910291,142031,0.036322361,1130205,0.289033476,65277
2020/7/22,24.32,3980030,143167,0.035971337,1185757,0.297926649,69739
2020/7/23,26.08,4050036,144283,0.035625115,1226670,0.302878789,70006
2020/7/24,25.84,4123561,145429,0.035267818,1252170,0.303662296,73525
2020/7/27,24.74,4303735,148449,0.034493062,1308646,0.304072161,180174
2020/7/28,25.44,4366851,149776,0.034298399,2151219,0.492624777,63116
2020/7/29,24.1,4433467,151172,0.034097919,2204332,0.497202754,66616
2020/7/30,24.76,4502581,152433,0.033854583,2224295,0.494004439,69114
2020/7/31,24.46,4571669,153862,0.033655542,2272515,0.497086513,69088
